"codigo","situacao","nome","descricao","mensagem","parametros"
"ELIM0535","Ativa","VALIDA SALDO DA CONTA 865.20.40","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.20.40 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0536","Ativa","VALIDA SALDO DA CONTA 865.30","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.30 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0537","Ativa","VALIDA SALDO DA CONTA 865.40","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.40 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0538","Ativa","Validar detalhamento dos elementos de RWAOPAD - BIA","Verifica se as instituições que optaram pela abordagem BIA no RWAOPAD apresentaram algum detalhamento nos elementos das contas que compõem a abordagem.","O Documento não apresentou detalhamento nos elementos das contas RWAOPAD.","System.Object[]"
"ELIM0539","Ativa","Validar detalhamento dos elementos de RWAOPAD - ASA","Verifica se as instituições que optaram pela abordagem APA no RWAOPAD apresentaram algum detalhamento nos elementos das contas que compõem a abordagem.","O Documento não apresentou detalhamento nos elementos das contas RWAOPAD.","System.Object[]"
"ELIM0540","Ativa","Validar detalhamento dos elementos de RWAOPAD - ASA2","Verifica se as instituições que optaram pela abordagem APAS no RWAOPAD apresentaram algum detalhamento nos elementos das contas que compõem a abordagem.","O Documento não apresentou detalhamento nos elementos das contas RWAOPAD.","System.Object[]"
"ELIM0541","Ativa","Valida parâmetro de Opção de Exclusão de PNC","Verifica se o valor informado para o parâmetro corresponde a um dos valores válidos P, T e N.","Foi informado valor para o domínio do parâmetro 22 - opção de exclusão de participação de não controladores distinto dos valores válidos (P,T,N).","System.Object[]"
"ELIM0542","Ativa","Validar parâmetro de abordagem para utilização de mitigador de risco","O parâmetro abordagem para utilização de mitigador de risco deve ser obrigatoriamente informado","Parâmetro abordagem para utilização de mitigador de risco não informado.","System.Object[]"
"ELIM0543","Ativa","VALIDA SALDO DA CONTA 145.01.01","Verifica se o saldo da conta 145.01.01 é maior ou igual a soma dos valores contábeis (elemento 2) da conta 520.01.","O saldo da conta 145.01.01 (RS VL1) é inferior à soma dos valores contábeis (elemento 2) da conta 520.01 (R$ VL2).","System.Object[]"
"ELIM0544","Ativa","VALIDA O O SALDO DA CONTA 111.93.03","Validação do saldo da conta 111.93.03 - Investimentos inferiores em IF
","O saldo da conta 111.93.03 (VLR1) deve corresponder à diferença dos saldos das contas 111.93.03.01 e 111.93.03.90 (VLR2).
","System.Object[]"
"ELIM0545","Ativa","VALIDA O O SALDO DA CONTA 111.93.03.01","Validação do saldo da conta 111.93.03.01 - Total de Investimentos Inferiores em Instituições Financeiras Brutos de Compensação
","O saldo da conta 111.93.03.01 (VLR1) deve corresponder à soma dos saldos das contas 111.93.03.01.01, 111.93.03.01.02, 111.93.03.01.03, 111.93.03.01.04 e 111.93.03.01.05 (VLR2).
","System.Object[]"
"ELIM0546","Ativa","VALIDA O O SALDO DA CONTA 111.94.04.05","Validação do saldo da conta 111.94.04.05 - Participações Superiores em Instituições Financeiras não Deduzidas
","O saldo da conta 111.94.04.05 (VLR1) deve corresponder à diferença dos saldos das contas 111.94.04.01.01.03 e 111.94.04.01.90.03 (VLR2).
","System.Object[]"
"ELIM0547","Ativa","VALIDA O O SALDO DA CONTA 111.94.05.01.01","Validação do saldo da conta 111.94.05.01.01 - Investimentos Superiores em Instituições Financeiras Brutos de Compensação
","O saldo da conta 111.94.05.01.01 (VLR1) deve corresponder à soma dos saldos das contas 111.94.05.01.01.01, 111.94.05.01.01.02, 111.94.05.01.01.03, 111.94.05.01.01.04 e 111.94.05.01.01.05 (VLR2).
","System.Object[]"
"ELIM0548","Ativa","VALIDA O O SALDO DA CONTA 111.94.05.01","Validação do saldo da conta 111.94.05.01 - Total de Investimentos Superiores em Instituições Financeiras
","O saldo da conta 111.94.05.01 (VLR1) deve corresponder à diferença dos saldos das contas 111.94.05.01.01 e 111.94.05.01.90 (VLR2).
","System.Object[]"
"ELIM0549","Ativa","VALIDA O O SALDO DA CONTA 111.94.05.02","Validação do saldo da conta 111.94.05.02 - Limite Para Investimentos Superiores em Instituições Financeiras
","O saldo da conta 111.94.05.02 (VLR1) difere do resultado de 111.94.01.02.01 * 10% (VLR2).
","System.Object[]"
"ELIM0550","Ativa","VALIDA O O SALDO DA CONTA 510","Validação do saldo da conta 510 - Disponibilidades
","O saldo da conta 510 (VLR1) deve corresponder à soma dos saldos das contas 510.01, 510.02 e 510.03 (VLR2).
","System.Object[]"
"ELIM0551","Ativa","VALIDA O O SALDO DA CONTA 530","Validação do saldo da conta 530 - Títulos e Valores Mobiliários e Instrumentos Financeiros Derivativos","O saldo da conta 530 (VLR1) deve corresponder à soma dos saldos das contas  530.07+530.08+530.10+530.12+530.13+530.14+530.15+530.16+530.17+530.18+530.20+530.22+530.23+530.30 (VLR2).","System.Object[]"
"ELIM0552","Ativa","VALIDA O O SALDO DA CONTA 535","Validação do saldo da conta 535 - Participações em Fundos de Garantia de Clearings e as Garantias Depositadas de Forma Não Apartada do Patrimônio Delas
","O saldo da conta 535 (VLR1) não é compatível com o valor resultante de sua fórmula (VLR2).
","System.Object[]"
"ELIM0553","Ativa","VALIDA O O SALDO DA CONTA 540","Validação do saldo da conta 540 - Relações Interfinanceiras
","O saldo da conta 540 (VLR1) não é compatível com o saldo da conta 540.07 (VLR2).
","System.Object[]"
"ELIM0554","Ativa","VALIDA O O SALDO DA CONTA 550","Validação do saldo da conta 550 - Operações de Crédito
","O saldo da conta 550 (VLR1) deve corresponder à soma dos saldos das contas 550.04, 550.05, 550.12 e 550.13 (VLR2).
","System.Object[]"
